Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2007,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,136,
CENSUS,2012,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,99,20
CENSUS,1997,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,219,
CENSUS,2002,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,167,
CENSUS,2007,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,127,
CENSUS,2012,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,79,21.8
CENSUS,2007,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES NOT HARVESTED,TOTAL,NOT SPECIFIED,10,
CENSUS,2012,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES NOT HARVESTED,TOTAL,NOT SPECIFIED,20,19.1
CENSUS,2007,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,150,
CENSUS,2012,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,151,15.1
CENSUS,1997,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,137,
CENSUS,2002,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,115,
CENSUS,2007,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,128,
